epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,394.564,0.48909,0.55196,0.32252,0.83061,0.99102,0.99477,0.99486,0.90958,0.98654,0.99035,0.99468,0.84677,0.4589,0.8192,0.29183,0.8214,0.000515,0.000515,0.000515
77,399.521,0.48718,0.56758,0.31824,0.82338,1,0.98507,0.99487,0.89508,0.97983,0.99099,0.99464,0.82597,0.47415,0.80521,0.30126,0.82493,0.0004952,0.0004952,0.0004952
78,404.442,0.47072,0.5479,0.31193,0.8202,0.99099,0.99075,0.99482,0.91023,0.98648,0.98625,0.99455,0.83786,0.44485,0.7819,0.28145,0.82039,0.0004754,0.0004754,0.0004754
79,409.4,0.47498,0.54815,0.31711,0.83344,0.9866,0.9951,0.99478,0.90545,0.98214,0.99064,0.99464,0.83246,0.46486,0.82258,0.28659,0.82117,0.0004556,0.0004556,0.0004556
80,414.479,0.50207,0.57551,0.32515,0.83444,0.98158,0.9955,0.99464,0.90388,0.97714,0.99099,0.9945,0.83162,0.47201,0.82258,0.29269,0.82287,0.0004358,0.0004358,0.0004358
81,419.412,0.49759,0.58223,0.32018,0.8353,0.98217,0.99252,0.99468,0.89952,0.97771,0.98802,0.99446,0.84414,0.46756,0.88717,0.28548,0.82026,0.000416,0.000416,0.000416
82,424.367,0.47426,0.5479,0.32334,0.84371,0.97729,0.9955,0.99473,0.90586,0.99426,0.97748,0.99442,0.83279,0.45527,0.82451,0.27901,0.81867,0.0003962,0.0003962,0.0003962
83,429.275,0.44656,0.55152,0.30438,0.82363,0.98295,0.99099,0.99477,0.9087,0.97848,0.98649,0.9945,0.83874,0.44254,0.83729,0.27497,0.81718,0.0003764,0.0003764,0.0003764
84,434.24,0.47046,0.55796,0.32477,0.83358,0.9955,0.97748,0.99482,0.90493,0.98529,0.99099,0.99468,0.83468,0.45152,0.8178,0.27588,0.81824,0.0003566,0.0003566,0.0003566
85,439.241,0.46694,0.5828,0.3085,0.83028,0.99089,0.99099,0.99495,0.90503,0.98637,0.98649,0.99406,0.8328,0.4504,0.79778,0.27859,0.81915,0.0003368,0.0003368,0.0003368
86,444.175,0.44679,0.50711,0.29422,0.83274,0.99409,0.99099,0.99486,0.91263,0.98957,0.98649,0.99451,0.83677,0.45156,0.7949,0.27539,0.81777,0.000317,0.000317,0.000317
87,449.179,0.46291,0.57954,0.30062,0.82589,0.99047,0.9955,0.99486,0.90832,0.98599,0.99099,0.99468,0.8439,0.4442,0.7939,0.274,0.81712,0.0002972,0.0002972,0.0002972
88,454.211,0.45657,0.52582,0.29646,0.82848,0.99103,0.99526,0.99486,0.90615,0.99103,0.99526,0.99482,0.83857,0.44424,0.79742,0.27713,0.81575,0.0002774,0.0002774,0.0002774
89,459.186,0.43166,0.4957,0.30371,0.81692,0.99068,0.9955,0.99486,0.90485,0.99068,0.9955,0.99482,0.82934,0.44531,0.78953,0.27637,0.81611,0.0002576,0.0002576,0.0002576
