epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,351.531,0.49468,0.55343,0.36301,0.81906,0.98646,0.98489,0.99451,0.89444,0.99486,0.97297,0.99111,0.83791,0.4661,0.82507,0.31646,0.81778,0.0006536,0.0006536,0.0006536
70,356.398,0.52432,0.56943,0.35361,0.84737,0.98297,0.98649,0.99425,0.89609,0.98636,0.97737,0.99121,0.81786,0.48126,0.82982,0.31831,0.81606,0.0006338,0.0006338,0.0006338
71,361.248,0.52781,0.57388,0.36289,0.8425,0.98554,0.98649,0.99442,0.89434,0.98193,0.97891,0.99377,0.80881,0.47272,0.82983,0.30679,0.81626,0.000614,0.000614,0.000614
72,366.113,0.50666,0.56938,0.35335,0.8426,0.99092,0.98285,0.99322,0.89958,0.99092,0.98285,0.99322,0.83634,0.45909,0.82947,0.3065,0.81226,0.0005942,0.0005942,0.0005942
73,371.009,0.4883,0.53921,0.33538,0.83404,0.98884,0.98649,0.99337,0.89426,0.99085,0.97583,0.99332,0.81825,0.46238,0.8374,0.30946,0.81584,0.0005744,0.0005744,0.0005744
74,375.862,0.4916,0.59182,0.33524,0.8382,0.99543,0.98115,0.99464,0.90514,0.99543,0.98115,0.99464,0.83687,0.43643,0.79129,0.29403,0.81242,0.0005546,0.0005546,0.0005546
75,380.741,0.49781,0.57926,0.3372,0.83165,1,0.9762,0.9946,0.89891,0.9759,0.99099,0.99451,0.83717,0.45642,0.8394,0.29729,0.81446,0.0005348,0.0005348,0.0005348
76,385.682,0.48364,0.56748,0.33215,0.82861,0.98894,0.98649,0.99446,0.89622,0.98894,0.98649,0.99446,0.83821,0.45492,0.82769,0.29413,0.81397,0.000515,0.000515,0.000515
77,390.535,0.50256,0.571,0.33321,0.82408,0.97325,0.9955,0.9939,0.90711,0.97325,0.9955,0.9939,0.83496,0.4493,0.80268,0.29278,0.81211,0.0004952,0.0004952,0.0004952
78,395.387,0.48445,0.56898,0.33149,0.82087,0.9699,0.9955,0.99363,0.90628,0.98455,0.97748,0.99333,0.82986,0.4576,0.79681,0.29749,0.81262,0.0004754,0.0004754,0.0004754
79,400.226,0.49444,0.56337,0.33683,0.83497,0.98133,0.9955,0.99464,0.90386,0.97689,0.99099,0.99423,0.827,0.44957,0.82392,0.29161,0.8131,0.0004556,0.0004556,0.0004556
80,405.108,0.51951,0.58729,0.35048,0.83289,0.98654,0.99016,0.99477,0.89334,0.98205,0.98565,0.99411,0.82239,0.46487,0.82132,0.29596,0.81687,0.0004358,0.0004358,0.0004358
81,409.945,0.50791,0.58742,0.33442,0.83517,0.99097,0.98912,0.99491,0.90138,0.98646,0.98461,0.99425,0.83505,0.46243,0.83114,0.288,0.81478,0.000416,0.000416,0.000416
82,414.816,0.48075,0.54429,0.33625,0.84088,0.98795,0.98649,0.9929,0.9069,0.97874,0.97748,0.99211,0.83048,0.44514,0.79298,0.29006,0.81232,0.0003962,0.0003962,0.0003962
83,419.641,0.46436,0.56293,0.31922,0.82449,0.99102,0.99422,0.99349,0.91441,0.98204,0.98521,0.99284,0.83622,0.42995,0.79956,0.28362,0.80922,0.0003764,0.0003764,0.0003764
84,424.534,0.49054,0.56859,0.34438,0.8362,0.99423,0.98649,0.99486,0.90682,0.99609,0.97748,0.99473,0.83807,0.4351,0.79057,0.28251,0.80918,0.0003566,0.0003566,0.0003566
85,429.364,0.48386,0.60082,0.32897,0.83234,0.99408,0.99099,0.99491,0.90729,0.99545,0.9853,0.99478,0.83634,0.43923,0.78938,0.27678,0.80947,0.0003368,0.0003368,0.0003368
86,434.182,0.4607,0.52013,0.31552,0.83487,0.99102,0.9937,0.99482,0.91227,0.98652,0.9892,0.99477,0.85184,0.43865,0.77295,0.28007,0.8094,0.000317,0.000317,0.000317
87,439.042,0.47316,0.59202,0.31255,0.82679,0.99185,0.99099,0.99491,0.91517,0.99369,0.98198,0.99478,0.85462,0.43406,0.77135,0.27461,0.80956,0.0002972,0.0002972,0.0002972
88,443.941,0.4675,0.53304,0.30938,0.8282,0.99102,0.99427,0.99482,0.9117,0.98204,0.98526,0.99429,0.85551,0.43008,0.78173,0.27671,0.80954,0.0002774,0.0002774,0.0002774
89,448.81,0.44234,0.50474,0.31546,0.81452,0.99103,0.99494,0.99473,0.91138,0.97631,0.98649,0.99331,0.84326,0.43951,0.78517,0.27872,0.80974,0.0002576,0.0002576,0.0002576
90,454.073,0.4401,0.53859,0.3048,0.82593,0.9954,0.97558,0.9946,0.92307,0.99403,0.97297,0.99446,0.8456,0.4318,0.81192,0.27122,0.80691,0.0002378,0.0002378,0.0002378
91,460.924,0.42306,0.52357,0.28386,0.80332,0.97787,0.99532,0.9946,0.91081,0.99201,0.97297,0.99446,0.83405,0.4424,0.81042,0.28387,0.80756,0.000218,0.000218,0.000218
92,466.389,0.41868,0.50845,0.27774,0.82154,0.98164,0.9955,0.99469,0.91888,0.98867,0.98198,0.99464,0.84236,0.42921,0.79926,0.27003,0.80652,0.0001982,0.0001982,0.0001982
93,471.676,0.39067,0.51181,0.27988,0.76832,0.99103,0.99526,0.99477,0.91552,0.99094,0.98545,0.99473,0.83754,0.42968,0.80957,0.27082,0.80698,0.0001784,0.0001784,0.0001784
94,477.016,0.41724,0.52388,0.27142,0.81344,0.98986,0.9955,0.99468,0.91149,0.99098,0.98985,0.99468,0.84371,0.43612,0.80205,0.27104,0.8081,0.0001586,0.0001586,0.0001586
95,482.355,0.42203,0.51121,0.27278,0.81148,0.98661,0.9955,0.9945,0.91398,0.98214,0.99099,0.99446,0.84143,0.4308,0.82104,0.26448,0.80762,0.0001388,0.0001388,0.0001388
96,487.742,0.4129,0.49869,0.27577,0.80281,0.98659,0.99434,0.99441,0.91723,0.98648,0.98582,0.99436,0.84219,0.43039,0.81416,0.26872,0.8079,0.000119,0.000119,0.000119
97,492.985,0.4222,0.50752,0.26881,0.80886,0.98492,0.9955,0.99459,0.91471,0.98648,0.98601,0.99455,0.84121,0.42685,0.80243,0.26721,0.80672,9.92e-05,9.92e-05,9.92e-05
98,498.641,0.41622,0.53867,0.27543,0.80335,0.98126,0.9955,0.99455,0.91727,0.98126,0.9955,0.99455,0.84311,0.42315,0.7965,0.26786,0.80624,7.94e-05,7.94e-05,7.94e-05
99,503.67,0.40613,0.51718,0.26768,0.80686,0.9809,0.9955,0.99459,0.91998,0.9809,0.9955,0.99459,0.84699,0.41772,0.79871,0.26511,0.80536,5.96e-05,5.96e-05,5.96e-05
100,509.333,0.39944,0.5231,0.25459,0.80461,0.98131,0.9955,0.99469,0.92042,0.98131,0.9955,0.99469,0.84882,0.41681,0.80114,0.26348,0.80566,3.98e-05,3.98e-05,3.98e-05
